N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud,Nivel,id
53,AREQUIPA,CAYLLOMA,40517,TISCO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-20 a -14,20 a 31 dias,1409,149,225,ALTO,634,634,2,MUY ALTO,9,41,6,MUY ALTO,-15.3471443,-71.4438761,2,24
55,AREQUIPA,CONDESUYOS,40603,CAYARANI,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA,-14 a -11,10 a 20 dias,3085,356,209,MUY ALTO,607,607,1,MUY ALTO,13,86,5,ALTO,-14.68116,-72.020866,2,25
57,AYACUCHO,CANGALLO,50205,PARAS,502050030,502050030,50205,PARAS,SANTA CRUZ DE HOSPICIO,TAMBO SANTA CRUZ DE HOSPICIO,-14 a -11,10 a 20 dias,4582,594,434,ALTO,1342,1345,3,ALTO,26,308,24,ALTO,-13.584810000000001,-74.52435299999998,2,26
58,AYACUCHO,SUCRE,50905,HUACAÑA,509050015,509050015,50905,HUACAÑA,ALUZPAMPA,TAMBO SANTA ALUZPAMPA,-14 a -11,5 a 10 dias,681,78,97,MEDIO,156,158,1,ALTO,5,15,3,ALTO,-14.1731008,-73.885275,2,27
60,CUSCO,ANTA,80305,HUAROCONDO,803050020,803050020,80305,HUAROCONDO,HUAYLLACOCHA,TAMBO HUAYLLACOCHA,-14 a -11,10 a 20 dias,5803,510,708,ALTO,1427,1429,1,ALTO,16,168,8,MUY ALTO,-13.4133237,-72.20824870000001,2,28
61,CUSCO,CANAS,80502,CHECCA,805020010,805020010,80502,CHECCA,ANANSAYA,TAMBO ANANSAYA,-14 a -11,20 a 31 dias,6292,739,718,ALTO,1627,1633,1,MUY ALTO,27,256,13,ALTO,-14.476526300000002,-71.3957971,2,29
62,CUSCO,CANAS,80503,KUNTURKANKI,805030005,805030005,80503,KUNTURKANKI,PUMATHALLA,TAMBO SAUSAYA,-14 a -11,20 a 31 dias,5745,541,740,ALTO,1544,1544,2,MUY ALTO,21,163,6,MUY ALTO,-14.534722222222221,-71.30694444444444,2,30
63,CUSCO,CANAS,80504,LANGUI,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,-14 a -11,20 a 31 dias,2510,244,372,ALTO,762,762,1,MUY ALTO,18,128,7,MUY ALTO,-14.432332999999998,-71.2733149,2,31
66,CUSCO,CANAS,80507,QUEHUE,805070011,805070011,80507,QUEHUE,PERCCARO,TAMBO PERCCARO,-14 a -11,20 a 31 dias,3582,407,391,ALTO,904,906,1,MUY ALTO,22,187,10,ALTO,-14.3808339,-71.45516769999998,2,32
67,CUSCO,CANAS,80508,TUPAC AMARU,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU,-11 a -5,20 a 31 dias,2906,298,344,ALTO,783,783,1,MUY ALTO,14,97,11,ALTO,-13.5291167,-71.96002179999998,2,33
69,CUSCO,CANCHIS,80603,COMBAPATA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,-14 a -11,10 a 20 dias,5398,464,564,MUY ALTO,1305,1317,1,ALTO,29,249,18,ALTO,-14.100748699999999,-71.4306785,2,34
74,CUSCO,CHUMBIVILCAS,80703,CHAMACA,807030015,807030015,80703,CHAMACA,CONCHACCOLLO CENTRO,TAMBO CCONCHA CCOLLO,-14 a -11,20 a 31 dias,8894,1042,859,ALTO,1871,1917,1,MUY ALTO,17,354,20,ALTO,-14.3005171,-71.84972119999998,2,35
75,CUSCO,CHUMBIVILCAS,80704,COLQUEMARCA,807040003,807040003,80704,COLQUEMARCA,YANQUE,TAMBO YANQUE LACCA LACCA,-14 a -11,10 a 20 dias,8582,881,1078,ALTO,2248,2256,1,MUY ALTO,31,432,24,ALTO,-14.2908,-72.044647,2,36
76,CUSCO,CHUMBIVILCAS,80705,LIVITACA,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,-14 a -11,20 a 31 dias,13406,1719,1425,ALTO,2826,2834,1,MUY ALTO,47,634,36,ALTO,-14.311516699999999,-71.6880998,2,37
79,CUSCO,CHUMBIVILCAS,80701,SANTO TOMAS,807010004,807010004,80701,SANTO TOMAS,MELLOTOTORA,TAMBO MELLOTOTORA COLCA,-14 a -11,20 a 31 dias,26707,2847,2884,ALTO,6090,6096,4,ALTO,39,575,29,ALTO,-14.4485861,-72.0794063,2,38
80,CUSCO,CHUMBIVILCAS,80708,VELILLE,807080008,807080008,80708,VELILLE,AYACCASI,TAMBO AYACCASI,-14 a -11,20 a 31 dias,8514,917,1022,ALTO,2229,2229,1,MUY ALTO,24,305,18,ALTO,-14.516879999999999,-71.88636,2,39
83,CUSCO,ESPINAR,80803,COPORAQUE,808030019,808030019,80803,COPORAQUE,SANTA ROSA HUAYHUASI,TAMBO HUAYHUAHUASI,-14 a -11,20 a 31 dias,17877,2047,2058,MUY ALTO,3500,3510,2,MUY ALTO,58,437,35,ALTO,-14.7981305,-71.53233459999998,2,40
88,CUSCO,ESPINAR,80807,SUYCKUTAMBO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,2767,275,300,MUY ALTO,703,707,1,MUY ALTO,11,61,7,ALTO,-15.068888888888885,-71.74777777777777,2,41
89,CUSCO,QUISPICANCHI,81204,CCARHUAYO,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI,-14 a -11,5 a 10 dias,3143,436,283,ALTO,682,683,1,ALTO,13,167,8,MEDIO,-13.596233699999999,-71.3997177,2,42
91,CUSCO,QUISPICANCHI,81212,QUIQUIJANA,812120033,812120033,81212,QUIQUIJANA,HUACAYTAQUI,TAMBO HUACCAYTAQUI,-14 a -11,10 a 20 dias,11002,1059,1304,ALTO,2520,2548,1,ALTO,34,618,23,ALTO,-13.82901,-71.53978699999998,2,43
92,HUANCAVELICA,CASTROVIRREYNA,90401,CASTROVIRREYNA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,-14 a -11,10 a 20 dias,3245,452,240,MEDIO,969,992,1,ALTO,19,179,14,MEDIO,-13.289179999999998,-75.31815300000001,2,44
95,HUANCAVELICA,CASTROVIRREYNA,90411,SANTA ANA,904110033,904110033,90411,SANTA ANA,PUCAPAMPA,TAMBO PUCAPAMPA,-14 a -11,10 a 20 dias,2168,137,93,MEDIO,698,701,2,MEDIO,5,42,5,ALTO,-13.073053100000001,-75.13976770000002,2,45
96,HUANCAVELICA,HUANCAVELICA,90106,HUACHOCOLPA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA,-14 a -11,10 a 20 dias,2875,427,118,ALTO,998,1035,1,ALTO,5,45,5,MEDIO,-13.03502,-74.94431290000001,2,46
100,HUANCAVELICA,HUAYTARA,90610,SAN ANTONIO DE CUSICANCHA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO,-11 a -5,10 a 20 dias,1662,252,135,ALTO,504,504,1,ALTO,21,141,13,ALTO,-13.50116,-75.29493699999998,2,47
101,HUANUCO,DOS DE MAYO,100307,CHUQUIS,1003070075,1003070075,100307,CHUQUIS,UCRUMARCA,TAMBO UCRUMARCA,-11 a -5,5 a 10 dias,5945,717,604,ALTO,1108,1109,1,ALTO,15,178,12,ALTO,-9.678173800000001,-76.70334709999999,2,48
102,HUANUCO,HUAMALIES,100509,PUÑOS,1005090060,1005090060,100509,PUÑOS,SAGSHACANCHA,TAMBO SHAGSHACANCHA,-11 a -5,5 a 10 dias,4354,586,403,ALTO,1229,1255,1,ALTO,27,297,22,ALTO,-9.5028572,-76.88506729999999,2,49
104,HUANUCO,LAURICOCHA,101007,SAN MIGUEL DE CAURI,1010070001,1010070001,101007,SAN MIGUEL DE CAURI,CAURI,TAMBO SAN MIGUEL DE CAURI,-14 a -11,10 a 20 dias,10304,1206,601,ALTO,1182,1191,3,ALTO,20,278,14,MEDIO,-10.10712,-76.60127299999998,2,50
112,PASCO,PASCO,190110,TICLACAYAN,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI,-11 a -5,10 a 20 dias,14027,1531,986,ALTO,935,974,1,ALTO,17,97,11,ALTO,-10.5341505,-76.16399840000001,2,51
113,TACNA,TACNA,230107,PALCA,2301070045,2301070045,230107,PALCA,ALTO PERU,TAMBO ALTO PERU,-14 a -11,2 a 5 dias,1688,147,231,BAJO,433,457,1,MEDIO,13,78,12,BAJO,-17.776389,-69.958889,2,52
