N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud,Nivel,id
2,PUNO,CARABAYA,210305,CORANI,2103050035,2103050035,210305,CORANI,AYMAÑA,TAMBO AYMAÑA,-20 a -14,10 a 20 dias,3956,549,301,ALTO,951,952,1,ALTO,11,102,8,ALTO,-13.88991,-70.647842,2,0
6,PUNO,CHUCUITO,210403,HUACULLANI,2104030002,2104030002,210403,HUACULLANI,CALLAZA,TAMBO AURICONTA,-14 a -11,20 a 31 dias,23369,2519,2105,ALTO,3042,3145,1,MUY ALTO,37,216,12,ALTO,-16.630951,-69.31997700000001,2,1
7,PUNO,CHUCUITO,210404,KELLUYO,2104040011,2104040011,210404,KELLUYO,ARACACHI CHIARAQUI,TAMBO MANANTIALES CHIARAQUE,-14 a -11,20 a 31 dias,25606,2739,2020,ALTO,4424,4437,1,MUY ALTO,36,201,7,ALTO,-16.7053271,-69.24364059999999,2,2
10,PUNO,EL COLLAO,210502,CAPAZO,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO,-20 a -14,10 a 20 dias,2265,207,207,MEDIO,679,679,1,ALTO,8,46,7,ALTO,-17.183611111111112,-69.74444444444444,2,3
12,PUNO,EL COLLAO,210501,ILAVE,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI,-14 a -11,20 a 31 dias,58210,5044,6178,MEDIO,14623,14741,3,ALTO,197,1214,71,ALTO,-16.0825395,-69.6384724,2,4
13,PUNO,EL COLLAO,210504,SANTA ROSA,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI,-20 a -14,20 a 31 dias,7822,794,866,ALTO,1663,1671,0,ALTO,25,176,17,ALTO,-16.766667,-69.85,2,5
18,PUNO,HUANCANE,210606,ROSASPATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,-11 a -5,20 a 31 dias,5188,521,1001,ALTO,1724,1734,1,MUY ALTO,37,232,15,ALTO,-15.24014,-69.52763399999999,2,6
19,PUNO,HUANCANE,210608,VILQUE CHICO,2106080025,2106080025,210608,VILQUE CHICO,CATAHUI,TAMBO CATAHUI,-11 a -5,20 a 31 dias,8343,776,2044,MUY ALTO,3277,3293,1,MUY ALTO,67,334,37,MUY ALTO,-15.2159658,-69.68922540000001,2,7
23,PUNO,LAMPA,210705,OCUVIRI,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,-20 a -14,20 a 31 dias,3136,328,262,ALTO,607,619,2,ALTO,8,67,6,MUY ALTO,-15.12142,-70.929367,2,8
24,PUNO,LAMPA,210706,PALCA,2107060006,2107060006,210706,PALCA,CHULLUNQUIANI,TAMBO CHULLUNQUIANI,-20 a -14,20 a 31 dias,2849,257,246,ALTO,781,784,1,MUY ALTO,8,88,6,MUY ALTO,-15.353655599999998,-70.3857788,2,9
25,PUNO,LAMPA,210707,PARATIA,2107070002,2107070002,210707,PARATIA,QUILLISANI,TAMBO QUILLISANI,-20 a -14,20 a 31 dias,9181,768,611,ALTO,1454,1462,1,MUY ALTO,9,57,8,MUY ALTO,-15.465570000000001,-70.609261,2,10
26,PUNO,LAMPA,210710,VILAVILA,2107100020,2107100020,210710,VILAVILA,CHIVAY,TAMBO PARCIALIDAD DE CHIVAY,-20 a -14,20 a 31 dias,4263,443,214,ALTO,598,609,1,MUY ALTO,2,11,1,ALTO,-15.19755,-70.677307,2,11
28,PUNO,MELGAR,210801,AYAVIRI,2108010048,2108010048,210801,AYAVIRI,TOCOTOCO,TAMBO TOCCO TOCCO,-20 a -14,20 a 31 dias,22367,2148,1834,ALTO,5928,6012,1,ALTO,33,175,13,MUY ALTO,-14.884294199999998,-70.58896120000001,2,12
29,PUNO,MELGAR,210803,CUPI,2108030021,2108030021,210803,CUPI,CORANI,TAMBO CORANI,-20 a -14,20 a 31 dias,3377,414,309,ALTO,853,853,1,MUY ALTO,12,91,7,ALTO,-14.904254000000002,-70.8669938,2,13
31,PUNO,MELGAR,210806,NUÑOA,2108060063,2108060063,210806,NUÑOA,ANANSAYA PUNA,TAMBO ANANSAYA PUNA,-14 a -11,20 a 31 dias,11006,1327,1122,ALTO,2621,2642,1,MUY ALTO,37,261,19,ALTO,-14.4760253,-70.6365505,2,14
33,PUNO,MELGAR,210808,SANTA ROSA,2108080055,2108080055,210808,SANTA ROSA,BUENA VISTA,TAMBO BUENA VISTA,-20 a -14,20 a 31 dias,7396,911,746,MUY ALTO,2000,2128,1,MUY ALTO,24,206,10,MUY ALTO,-14.611479999999998,-70.791023,2,15
35,PUNO,SAN ANTONIO DE PUTINA,211003,PEDRO VILCA APAZA,2110030001,2110030001,211003,PEDRO VILCA APAZA,AYRAMPUNI,TAMBO TUPAC AMARU AYRAMPUNI,-14 a -11,20 a 31 dias,2978,256,480,ALTO,879,884,1,MUY ALTO,7,72,6,MUY ALTO,-15.062222222222225,-69.88361111111112,2,16
37,APURIMAC,ABANCAY,30103,CIRCA,301030002,301030002,30103,CIRCA,YACA,TAMBO YACA,-14 a -11,5 a 10 dias,2506,248,418,MEDIO,826,842,1,MEDIO,19,90,14,ALTO,-13.8791041,-72.875917,2,17
39,APURIMAC,ANTABAMBA,30301,ANTABAMBA,303010016,303010016,30301,ANTABAMBA,CULLCUNCHINI,TAMBO CULLCUNCHINI,-14 a -11,5 a 10 dias,3166,355,453,ALTO,1042,1059,1,ALTO,12,63,11,ALTO,-14.365153400000002,-72.8778527,2,18
40,APURIMAC,ANTABAMBA,30304,JUAN ESPINOZA MEDRANO,303040016,303040016,30304,JUAN ESPINOZA MEDRANO,CALCAUSO,TAMBO CALCAUSO,-14 a -11,5 a 10 dias,2049,241,326,ALTO,662,677,1,ALTO,7,74,8,MEDIO,-14.209309699999999,-73.058089,2,19
42,APURIMAC,ANTABAMBA,30307,SABAINO,303070033,303070033,30307,SABAINO,ANTILLA,TAMBO ANTILLA,-14 a -11,5 a 10 dias,1653,188,255,ALTO,485,493,1,ALTO,5,21,3,ALTO,-14.326629999999998,-72.9516979,2,20
43,APURIMAC,COTABAMBAS,30506,CHALLHUAHUACHO,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,-14 a -11,10 a 20 dias,9933,1358,672,ALTO,2336,2339,1,MUY ALTO,52,623,44,ALTO,-14.118784900000001,-72.2475967,2,21
47,AREQUIPA,CAYLLOMA,40519,YANQUE,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,20 a 31 dias,2112,147,354,ALTO,734,734,1,ALTO,3,11,3,MUY ALTO,-15.6501,-71.65843579999998,2,22
50,AREQUIPA,CAYLLOMA,40514,SAN ANTONIO DE CHUCA,405140174,405140174,40514,SAN ANTONIO DE CHUCA,CHUCA,TAMBO SAN ANTONIO DE CHUCA,-20 a -14,20 a 31 dias,1561,156,215,MUY ALTO,449,466,1,MUY ALTO,5,29,3,MUY ALTO,-15.928889000000002,-71.105278,2,23
