N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud,Nivel,id
41,APURIMAC,ANTABAMBA,30305,OROPESA,303040016,303040016,30304,JUAN ESPINOZA MEDRANO,CALCAUSO,TAMBO CALCAUSO,-14 a -11,10 a 20 dias,3113,409,283,ALTO,671,686,0,ALTO,12,63,9,MUY ALTO,-14.2603902,-72.5633132,3,20
44,APURIMAC,COTABAMBAS,30504,HAQUIRA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,-14 a -11,20 a 31 dias,11833,1471,1064,ALTO,2754,2780,0,MUY ALTO,46,440,42,ALTO,-14.2234,-72.19461799999998,3,21
45,APURIMAC,COTABAMBAS,30505,MARA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,-11 a -5,10 a 20 dias,6693,822,631,MUY ALTO,1609,1612,0,MUY ALTO,37,399,32,ALTO,-14.100470000000001,-72.108879,3,22
46,AREQUIPA,CAYLLOMA,40516,TAPAY,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,10 a 20 dias,531,54,132,ALTO,169,169,0,MUY ALTO,7,52,6,MUY ALTO,-15.577126199999999,-71.93902259999999,3,23
48,AREQUIPA,CAYLLOMA,40509,ICHUPAMPA,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,20 a 31 dias,652,53,119,MEDIO,250,250,0,ALTO,0,0,0,MEDIO,-15.6500913,-71.68698739999998,3,24
49,AREQUIPA,CAYLLOMA,40510,LARI,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,-20 a -14,20 a 31 dias,1528,140,247,ALTO,357,361,0,MUY ALTO,0,0,0,MEDIO,-15.6208297,-71.76892059999999,3,25
51,AREQUIPA,CAYLLOMA,40515,SIBAYO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-14 a -11,20 a 31 dias,661,66,94,ALTO,253,254,0,MUY ALTO,0,0,0,ALTO,-15.493570000000002,-71.46597299999998,3,26
52,AREQUIPA,CAYLLOMA,40504,CALLALLI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-20 a -14,20 a 31 dias,1946,135,343,ALTO,677,677,0,MUY ALTO,4,6,3,ALTO,-15.5072929,-71.44292329999998,3,27
54,AREQUIPA,CAYLLOMA,40518,TUTI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,-20 a -14,20 a 31 dias,744,80,116,ALTO,310,310,0,MUY ALTO,0,0,0,ALTO,-15.531920499999998,-71.54902709999999,3,28
56,AREQUIPA,CONDESUYOS,40607,SALAMANCA,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA,-14 a -11,5 a 10 dias,855,80,199,ALTO,306,306,0,ALTO,6,33,3,ALTO,-15.5475134,-72.9184484,3,29
