N°,Departamento,Provincia,Ubigeo distrital,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,T° Mínima P10 (°C),Frecuencia de heladas (días/mes),Total del distrito,Población menor a 5 años,Población de 60 años a más,Nivel de Riesgo MINSA,Total de viviendas por distrito,Total de hogares,Número de Tambos en el distrito,Nivel de Riesgo MVCS,Total de instituciones educativas,Total de alumnos,Total de docentes,Nivel de Riesgo MINEDU,Latitud,Longitud
87,CUSCO,ESPINAR,80806,PICHIGUA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,3607,287,532,ALTO,831,833,0,MUY ALTO,12,97,7,ALTO,-14.6784615,-71.4047033
88,CUSCO,ESPINAR,80807,SUYCKUTAMBO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,-14 a -11,20 a 31 dias,2767,275,300,MUY ALTO,703,707,1,MUY ALTO,11,61,7,ALTO,-15.068888888888889,-71.74777777777778
89,CUSCO,QUISPICANCHI,81204,CCARHUAYO,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI,-14 a -11,5 a 10 dias,3143,436,283,ALTO,682,683,1,ALTO,13,167,8,MEDIO,-13.5962337,-71.3997177
90,CUSCO,QUISPICANCHI,81209,MARCAPATA,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI,-14 a -11,5 a 10 dias,4512,564,580,ALTO,1117,1121,0,ALTO,21,254,15,ALTO,-13.5911247,-70.9769245
91,CUSCO,QUISPICANCHI,81212,QUIQUIJANA,812120033,812120033,81212,QUIQUIJANA,HUACAYTAQUI,TAMBO HUACCAYTAQUI,-14 a -11,10 a 20 dias,11002,1059,1304,ALTO,2520,2548,1,ALTO,34,618,23,ALTO,-13.82901,-71.53978699999999
92,HUANCAVELICA,CASTROVIRREYNA,90401,CASTROVIRREYNA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,-14 a -11,10 a 20 dias,3245,452,240,MEDIO,969,992,1,ALTO,19,179,14,MEDIO,-13.28918,-75.318153
93,HUANCAVELICA,CASTROVIRREYNA,90406,COCAS,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,-11 a -5,10 a 20 dias,911,145,83,ALTO,266,266,0,ALTO,14,51,4,ALTO,-13.0746594,-75.64626609999999
94,HUANCAVELICA,CASTROVIRREYNA,90409,MOLLEPAMPA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,-11 a -5,10 a 20 dias,1672,191,184,MEDIO,440,440,0,ALTO,19,95,10,ALTO,-13.3108167,-75.41025379999999
95,HUANCAVELICA,CASTROVIRREYNA,90411,SANTA ANA,904110033,904110033,90411,SANTA ANA,PUCAPAMPA,TAMBO PUCAPAMPA,-14 a -11,10 a 20 dias,2168,137,93,MEDIO,698,701,2,MEDIO,5,42,5,ALTO,-13.0730531,-75.13976770000001
96,HUANCAVELICA,HUANCAVELICA,90106,HUACHOCOLPA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA,-14 a -11,10 a 20 dias,2875,427,118,ALTO,998,1035,1,ALTO,5,45,5,MEDIO,-13.03502,-74.9443129
97,HUANCAVELICA,HUANCAVELICA,90115,PILCHACA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA,-11 a -5,10 a 20 dias,497,59,63,ALTO,208,209,0,ALTO,2,13,2,ALTO,-12.4,-75.1
98,HUANCAVELICA,HUAYTARA,90601,HUAYTARA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO,-11 a -5,5 a 10 dias,2097,281,230,ALTO,774,778,0,MEDIO,10,67,7,ALTO,-13.6040212,-75.3532422
99,HUANCAVELICA,HUAYTARA,90607,PILPICHACA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO,-14 a -11,20 a 31 dias,3712,634,239,ALTO,1098,1098,0,MUY ALTO,40,447,32,ALTO,-13.3261109,-74.9975
100,HUANCAVELICA,HUAYTARA,90610,SAN ANTONIO DE CUSICANCHA,906100033,906100033,90610,SAN ANTONIO DE CUSICANCHA,SACSAQUERO QUISUAARPAMPA,TAMBO SACSAQUERO,-11 a -5,10 a 20 dias,1662,252,135,ALTO,504,504,1,ALTO,21,141,13,ALTO,-13.50116,-75.29493699999999
101,HUANUCO,DOS DE MAYO,100307,CHUQUIS,1003070075,1003070075,100307,CHUQUIS,UCRUMARCA,TAMBO UCRUMARCA,-11 a -5,5 a 10 dias,5945,717,604,ALTO,1108,1109,1,ALTO,15,178,12,ALTO,-9.6781738,-76.7033471
102,HUANUCO,HUAMALIES,100509,PUÑOS,1005090060,1005090060,100509,PUÑOS,SAGSHACANCHA,TAMBO SHAGSHACANCHA,-11 a -5,5 a 10 dias,4354,586,403,ALTO,1229,1255,1,ALTO,27,297,22,ALTO,-9.5028572,-76.8850673
103,HUANUCO,LAURICOCHA,101001,JESUS,1010070001,1010070001,101007,SAN MIGUEL DE CAURI,CAURI,TAMBO SAN MIGUEL DE CAURI,-11 a -5,10 a 20 dias,5736,588,553,MEDIO,1368,1380,0,ALTO,19,246,13,MEDIO,-10.0340399,-76.581879
104,HUANUCO,LAURICOCHA,101007,SAN MIGUEL DE CAURI,1010070001,1010070001,101007,SAN MIGUEL DE CAURI,CAURI,TAMBO SAN MIGUEL DE CAURI,-14 a -11,10 a 20 dias,10304,1206,601,ALTO,1182,1191,3,ALTO,20,278,14,MEDIO,-10.10712,-76.60127299999999
111,PASCO,PASCO,190101,CHAUPIMARCA,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI,-11 a -5,20 a 31 dias,25824,2474,1385,MUY ALTO,5604,5657,0,ALTO,1,8,0,MUY ALTO,-10.6850405,-76.2540167
112,PASCO,PASCO,190110,TICLACAYAN,1901100042,1901100042,190110,TICLACAYAN,SAN JUAN DE YANACHI,TAMBO SAN JUAN DE YANACACHI,-11 a -5,10 a 20 dias,14027,1531,986,ALTO,935,974,1,ALTO,17,97,11,ALTO,-10.5341505,-76.1639984
113,TACNA,TACNA,230107,PALCA,2301070045,2301070045,230107,PALCA,ALTO PERU,TAMBO ALTO PERU,-14 a -11,2 a 5 dias,1688,147,231,BAJO,433,457,1,MEDIO,13,78,12,BAJO,-17.776389,-69.958889
