Solution,Source,Destination,Item 1,Item 2,Item 3
8,C1,D7,3.0,13.0,8.0
8,C1,D8,5.0,0.0,0.0
8,C2,D1,18.0,12.0,7.0
8,C2,D2,16.0,14.0,1.0
8,C2,D3,60.0,50.0,88.0
8,C2,D4,9.0,0.0,14.0
8,C2,D5,8.0,2.0,43.0
8,C2,D6,38.0,2.0,28.0
8,C2,D7,1.0,10.0,7.0
8,C2,D8,135.0,130.0,110.0
9,A1,B3,230.0,210.0,150.0
9,A2,B1,119.0,179.0,99.0
9,A2,B3,51.0,11.0,151.0
9,B1,C1,119.0,179.0,99.0
9,B3,C2,281.0,221.0,301.0
9,C1,D1,19.0,20.0,11.0
9,C1,D2,20.0,37.0,5.0
9,C1,D3,0.0,0.0,4.0
9,C1,D4,16.0,100.0,18.0
9,C1,D5,3.0,3.0,3.0
9,C1,D6,51.0,7.0,52.0
9,C1,D7,3.0,12.0,6.0
9,C1,D8,7.0,0.0,0.0
9,C2,D1,18.0,14.0,7.0
9,C2,D2,15.0,11.0,1.0
9,C2,D3,60.0,50.0,79.0
9,C2,D4,9.0,0.0,15.0
9,C2,D5,8.0,4.0,57.0
9,C2,D6,39.0,2.0,28.0
9,C2,D7,1.0,10.0,4.0
9,C2,D8,131.0,130.0,110.0
10,A1,B3,230.0,210.0,150.0
10,A2,B1,123.0,156.0,94.0
10,A2,B3,47.0,34.0,156.0
10,B1,C1,123.0,156.0,94.0
10,B3,C2,277.0,244.0,306.0
10,C1,D1,30.0,20.0,21.0
10,C1,D2,10.0,38.0,5.0
10,C1,D3,0.0,0.0,5.0
10,C1,D4,17.0,76.0,9.0
10,C1,D5,3.0,3.0,8.0
10,C1,D6,48.0,7.0,40.0
10,C1,D7,7.0,12.0,6.0
10,C1,D8,8.0,0.0,0.0
10,C2,D1,20.0,15.0,11.0
10,C2,D2,4.0,11.0,1.0
10,C2,D3,60.0,50.0,85.0
10,C2,D4,9.0,22.0,7.0
10,C2,D5,8.0,4.0,52.0
10,C2,D6,42.0,2.0,36.0
10,C2,D7,2.0,10.0,4.0
10,C2,D8,132.0,130.0,110.0
11,A1,B3,230.0,210.0,150.0
11,A2,B1,118.0,168.0,93.0
11,A2,B3,52.0,22.0,157.0
11,B1,C1,118.0,168.0,93.0
11,B3,C2,282.0,232.0,307.0
11,C1,D1,26.0,20.0,11.0
11,C1,D2,10.0,41.0,17.0
11,C1,D3,0.0,0.0,2.0
11,C1,D4,17.0,76.0,9.0
11,C1,D5,3.0,1.0,8.0
11,C1,D6,48.0,7.0,40.0
11,C1,D7,7.0,12.0,6.0
11,C1,D8,7.0,11.0,0.0
11,C2,D1,24.0,15.0,7.0
